timestamp,session_id,user_message,assistant_response,intent,budget_mentioned,fuel_preference,body_type,family_size,use_case,features_mentioned,model_mentioned,sentiment
2026-02-15T16:44:36.383197,16b15097,Tell me about the RAV4,We have several options that might interest you. Could you tell me more about your priorities?,after_sales,34629,hybrid,,,city commuting,['360 camera'],,neutral
2026-02-15T17:11:10.041200,617933d5,I need a reliable SUV for off-road use in the Canary Islands,That's an important consideration. Let me check what we currently have in stock.,compare,14622,,,4,first car,[],,positive
2026-02-16T08:46:24.484798,530961fa,"I care a lot about safety features, what do you recommend?",The Yaris comes with advanced safety features including Toyota Safety Sense.,test_drive,13517,petrol,,2,first car,"['panoramic roof', 'lane assist']",Yaris,neutral
2026-02-16T09:04:10.407877,ee5aa456,Can you compare the GR86 and Aygo X?,Great question about fuel types! Each has its advantages depending on your driving patterns.,browse,,petrol,sedan,6,long highway trips,['wireless charging'],,neutral
2026-02-16T11:08:17.359267,09201afe,Can I test drive the Corolla?,"I'd love to help! To give you the best recommendation, could you share your typical weekly mileage?",availability,12039,,,,,"['blind spot monitor', 'boot space', 'panoramic roof']",,positive
2026-02-16T12:22:37.234244,9d8a2e7b,What Toyota SUVs do you have available?,That's a great question! Let me help you narrow down your options based on your needs.,browse,,petrol,suv,,,"['apple carplay', '7 seats']",,positive
2026-02-16T16:06:05.129940,43e61c8b,I need a car with good boot space for surfboards,We currently have the Aygo X in stock with several trim levels available.,availability,14620,petrol,crossover,,first car,[],Aygo X,positive
2026-02-16T17:19:05.823851,43e61c8b,"I'm a first-time buyer, what's good for city driving?",The Aygo X offers the best balance of performance and efficiency in that price range.,recommend,10970,hybrid,hatchback,,first car,[],Aygo X,neutral
2026-02-16T17:57:36.892848,f33cf532,What deals do you have this month?,The RAV4 comes with advanced safety features including Toyota Safety Sense.,finance,28779,petrol,,3,family transport,[],RAV4,negative
2026-02-17T07:27:22.919860,92168739,"My budget is €45,303, what Toyota do you recommend?","For island driving, there are a few factors to keep in mind — range, road type, and service access.",availability,45303,diesel,pickup,,off-road,['wireless charging'],,positive
2026-02-17T08:42:55.943016,b4e6be50,"I want something electric or plug-in hybrid, what do you have?",Great choice! The RAV4 is available at our Las Palmas and Tenerife showrooms.,test_drive,37825,electric,suv,,,[],RAV4,neutral
2026-02-17T15:20:55.072990,c6578abc,What's the best hybrid Toyota for a family of 4?,The RAV4 comes with advanced safety features including Toyota Safety Sense.,recommend,54058,petrol,pickup,,,['android auto'],RAV4,positive
2026-02-17T16:32:24.813349,34379950,Is the Corolla good for highway driving?,I can arrange a test drive for the Corolla at your nearest dealership.,finance,24258,plug-in hybrid,,,,[],Corolla,neutral
2026-02-17T16:55:59.171777,f9f1d803,Tell me about the Land Cruiser,"For island driving, there are a few factors to keep in mind — range, road type, and service access.",after_sales,,,pickup,3,towing,"['adaptive cruise', 'panoramic roof', 'android auto']",,neutral
2026-02-17T19:33:15.056714,92168739,Which Toyota is best for fuel economy?,"For island driving, there are a few factors to keep in mind — range, road type, and service access.",test_drive,42814,diesel,mpv,,long highway trips,['apple carplay'],,positive
2026-02-18T15:05:30.553572,56d3e42a,Which Toyota is best for fuel economy?,Our current promotions include competitive financing rates across the entire range.,compare,12526,hybrid,crossover,,first car,"['tow bar', 'boot space']",,positive
2026-02-18T15:19:45.344061,f78bed13,"I care a lot about safety features, what do you recommend?",Our current promotions include competitive financing rates across the entire range.,after_sales,13265,hybrid,crossover,,city commuting,"['lane assist', '7 seats']",,positive
2026-02-18T16:21:19.509096,5731632c,"I want a family car with 7 seats under €31,386",Great question about fuel types! Each has its advantages depending on your driving patterns.,recommend,31386,,hatchback,,,"['boot space', 'android auto']",,negative
2026-02-18T18:17:59.228370,1b9fed09,Can you compare the Land Cruiser and bZ4X?,"I'd love to help! To give you the best recommendation, could you share your typical weekly mileage?",test_drive,57800,,coupe,,,"['boot space', 'tow bar']",,positive
2026-02-18T20:50:25.118471,75f6ab09,What deals do you have this month?,That's an important consideration. Let me check what we currently have in stock.,test_drive,15149,hybrid,crossover,,,['heated seats'],,positive
2026-02-19T11:51:25.935524,16b15097,"I want a family car with 7 seats under €35,690",I'd recommend the C-HR — it's one of our most popular models for that use case.,browse,35690,diesel,,,,"['panoramic roof', 'tow bar']",C-HR,positive
2026-02-19T11:57:41.431833,f33cf532,Can you compare the Land Cruiser and Yaris?,The Land Cruiser comes with advanced safety features including Toyota Safety Sense.,compare,,plug-in hybrid,sedan,,business travel,"['apple carplay', 'boot space', '360 camera']",Land Cruiser,positive
2026-02-19T15:49:37.314501,1b9fed09,"I'm interested in the Prius, what's the price?","For island driving, there are a few factors to keep in mind — range, road type, and service access.",browse,13909,,crossover,,first car,"['heated seats', 'wireless charging', 'panoramic roof']",,positive
2026-02-19T18:10:52.988582,92168739,Is Aygo X available in automatic transmission?,The Aygo X would be a great fit for your needs. It offers excellent fuel economy and comfort.,finance,12732,petrol,crossover,6,,['panoramic roof'],Aygo X,positive
2026-02-19T18:21:35.906745,f9f1d803,"My budget is €43,551, what Toyota do you recommend?",We have several options that might interest you. Could you tell me more about your priorities?,browse,43551,diesel,suv,5,family transport,"['panoramic roof', 'heated seats', 'adaptive cruise']",,positive
2026-02-19T18:46:41.377624,3dfec793,What's the best hybrid Toyota for a family of 4?,That's an important consideration. Let me check what we currently have in stock.,compare,11775,,hatchback,,first car,[],,neutral
2026-02-19T20:20:17.593096,b4e6be50,"I want a family car with 7 seats under €43,728",Our current promotions include competitive financing rates across the entire range.,browse,43728,petrol,suv,4,long highway trips,"['apple carplay', '360 camera', 'panoramic roof']",,positive
2026-02-20T05:26:40.318201,17b1e6dd,"I'm interested in the Prius, what's the price?",We have several options that might interest you. Could you tell me more about your priorities?,compare,29489,,suv,,city commuting,['blind spot monitor'],,neutral
2026-02-20T06:37:56.893973,92168739,"I want something electric or plug-in hybrid, what do you have?",The Prius would be a great fit for your needs. It offers excellent fuel economy and comfort.,finance,30738,diesel,suv,,,"['panoramic roof', 'boot space', 'adaptive cruise']",Prius,neutral
2026-02-20T10:10:45.458794,9d8a2e7b,I need a reliable SUV for off-road use in the Canary Islands,That's an important consideration. Let me check what we currently have in stock.,browse,13736,hybrid,hatchback,,city commuting,['blind spot monitor'],,negative
2026-02-20T16:49:52.741799,c28d94e6,"I want a family car with 7 seats under €38,656",That's an important consideration. Let me check what we currently have in stock.,availability,38656,hybrid,,6,long highway trips,[],,neutral
2026-02-20T17:58:21.269377,47cf6b1b,I need a reliable SUV for off-road use in the Canary Islands,The Yaris is an excellent choice with its hybrid powertrain and spacious interior.,compare,11486,hybrid,,,first car,"['blind spot monitor', 'boot space']",Yaris,positive
2026-02-20T18:03:55.863104,0c0a630c,"I'm interested in the Aygo X, what's the price?","I'd love to help! To give you the best recommendation, could you share your typical weekly mileage?",finance,12238,,crossover,6,first car,[],,positive
2026-02-20T21:37:47.105516,0c0a630c,"I care a lot about safety features, what do you recommend?",We have several options that might interest you. Could you tell me more about your priorities?,browse,35276,,suv,5,family transport,['blind spot monitor'],,positive
2026-02-21T06:22:23.558131,3da8f5b4,"I'm looking for a car for my daily commute, budget around €12,000",Our current promotions include competitive financing rates across the entire range.,after_sales,12000,petrol,,3,,"['tow bar', 'adaptive cruise']",,positive
2026-02-21T07:42:18.443766,16b15097,"I'm looking for a car for my daily commute, budget around €12,936","For island driving, there are a few factors to keep in mind — range, road type, and service access.",finance,12936,petrol,crossover,2,,"['360 camera', 'lane assist', 'heated seats']",,positive
2026-02-21T08:08:17.258616,ee5aa456,Can I test drive the Corolla?,The Corolla comes with advanced safety features including Toyota Safety Sense.,availability,14795,hybrid,crossover,,eco savings,['wireless charging'],Corolla,neutral
2026-02-21T10:42:45.062606,09201afe,Is the Hilux good for highway driving?,"I'd love to help! To give you the best recommendation, could you share your typical weekly mileage?",browse,38703,petrol,pickup,,,"['android auto', 'panoramic roof']",,positive
2026-02-21T12:54:15.748719,ad6ebd12,"My budget is a reasonable amount, what Toyota do you recommend?","For that budget, the Yaris is our top recommendation — great value and reliability.",after_sales,,,crossover,,first car,[],Yaris,neutral
2026-02-21T15:25:46.199100,5731632c,Which Toyota is best for fuel economy?,Great choice! The Corolla is available at our Las Palmas and Tenerife showrooms.,browse,,petrol,hatchback,,,['apple carplay'],Corolla,neutral
2026-02-21T16:22:33.088827,d34b6e88,"I care a lot about safety features, what do you recommend?",I can arrange a test drive at your most convenient location in the Canary Islands.,test_drive,27584,petrol,mpv,,,['heated seats'],,positive
2026-02-21T19:17:48.842441,b4e6be50,"I'm looking for a car for my daily commute, budget around €43,813",Great choice! The Land Cruiser is available at our Las Palmas and Tenerife showrooms.,browse,43813,diesel,pickup,,island hopping,['panoramic roof'],Land Cruiser,positive
2026-02-21T21:04:21.647258,56d3e42a,"I'm interested in the Prius, what's the price?",We have several options that might interest you. Could you tell me more about your priorities?,test_drive,,electric,,,long highway trips,['blind spot monitor'],,negative
2026-02-22T08:48:21.760649,f8f96158,I need a reliable SUV for off-road use in the Canary Islands,Great question about fuel types! Each has its advantages depending on your driving patterns.,test_drive,,plug-in hybrid,coupe,2,,"['blind spot monitor', 'panoramic roof']",,positive
2026-02-22T11:41:11.549362,3da8f5b4,What deals do you have this month?,Our current promotions include competitive financing rates across the entire range.,recommend,40224,diesel,suv,2,,"['lane assist', 'wireless charging']",,positive
2026-02-22T17:33:30.258581,9f4b8762,"My budget is €23,599, what Toyota do you recommend?","I'd love to help! To give you the best recommendation, could you share your typical weekly mileage?",availability,23599,electric,sedan,,eco savings,['lane assist'],,positive
2026-02-23T16:20:27.059428,c6578abc,"I'm interested in the Land Cruiser, what's the price?",That's an important consideration. Let me check what we currently have in stock.,finance,26176,hybrid,suv,3,,"['7 seats', 'android auto']",,positive
2026-02-24T09:26:24.236629,c6578abc,I need a pickup truck that can tow heavy loads,I can arrange a test drive for the Aygo X at your nearest dealership.,availability,12784,petrol,crossover,,city commuting,['tow bar'],Aygo X,neutral
2026-02-24T16:21:22.304366,acf02484,"I want a family car with 7 seats under €10,219",I can arrange a test drive at your most convenient location in the Canary Islands.,availability,10219,petrol,,,first car,"['android auto', 'panoramic roof']",,positive
2026-02-24T20:56:30.536244,d34b6e88,"My budget is €11,633, what Toyota do you recommend?",The Yaris would be a great fit for your needs. It offers excellent fuel economy and comfort.,compare,11633,hybrid,hatchback,2,eco savings,['wireless charging'],Yaris,negative
2026-02-25T10:04:21.500320,09201afe,Is Hilux available in automatic transmission?,Great choice! The Hilux is available at our Las Palmas and Tenerife showrooms.,browse,,diesel,,,off-road,"['panoramic roof', 'lane assist', 'heated seats']",Hilux,positive
2026-02-25T10:15:44.211015,3dfec793,"My budget is a reasonable amount, what Toyota do you recommend?",The bZ4X would be a great fit for your needs. It offers excellent fuel economy and comfort.,finance,,hybrid,sedan,,long highway trips,"['blind spot monitor', '7 seats', 'panoramic roof']",bZ4X,positive
2026-02-25T14:31:49.403819,17b1e6dd,"I'm a first-time buyer, what's good for city driving?",Great choice! The Land Cruiser is available at our Las Palmas and Tenerife showrooms.,recommend,75819,hybrid,,2,business travel,"['boot space', 'adaptive cruise', 'android auto']",Land Cruiser,neutral
2026-02-25T14:52:39.976454,b4f17b53,What's the best hybrid Toyota for a family of 4?,I can arrange a test drive at your most convenient location in the Canary Islands.,availability,33893,,,,,[],,positive
2026-02-25T15:32:08.767495,09201afe,"I'm interested in the RAV4, what's the price?",The RAV4 would be a great fit for your needs. It offers excellent fuel economy and comfort.,finance,50089,petrol,suv,,towing,"['7 seats', 'android auto']",RAV4,positive
2026-02-25T15:55:03.665550,3da8f5b4,"I want something electric or plug-in hybrid, what do you have?",We currently have the Yaris in stock with several trim levels available.,recommend,,,hatchback,6,,"['panoramic roof', 'adaptive cruise']",Yaris,positive
2026-02-25T16:53:40.232618,1b9fed09,I need a reliable SUV for off-road use in the Canary Islands,"For that budget, the Land Cruiser is our top recommendation — great value and reliability.",recommend,,diesel,mpv,3,family transport,"['boot space', 'heated seats', 'panoramic roof']",Land Cruiser,positive
2026-02-25T18:35:06.313013,ad6ebd12,"I'm interested in the bZ4X, what's the price?","For island driving, there are a few factors to keep in mind — range, road type, and service access.",compare,,hybrid,suv,3,family transport,"['adaptive cruise', 'tow bar', 'boot space']",,positive
2026-02-26T10:05:46.447641,c28d94e6,"I care a lot about safety features, what do you recommend?",Great choice! The Camry is available at our Las Palmas and Tenerife showrooms.,test_drive,46763,plug-in hybrid,,,business travel,['wireless charging'],Camry,neutral
2026-02-26T12:35:07.366819,47cf6b1b,Tell me about the bZ4X,I'd recommend the bZ4X — it's one of our most popular models for that use case.,compare,,plug-in hybrid,,,long highway trips,[],bZ4X,neutral
2026-02-26T12:38:23.905948,c28d94e6,What deals do you have this month?,I can arrange a test drive at your most convenient location in the Canary Islands.,after_sales,42997,petrol,suv,2,family transport,['blind spot monitor'],,neutral
2026-02-27T10:39:33.381811,530961fa,I need a reliable SUV for off-road use in the Canary Islands,The Aygo X comes with advanced safety features including Toyota Safety Sense.,after_sales,,hybrid,,,,[],Aygo X,neutral
2026-02-27T17:52:36.559154,1b9fed09,Can you compare the Camry and Proace City?,The GR86 offers the best balance of performance and efficiency in that price range.,after_sales,,petrol,,,business travel,[],GR86,negative
2026-02-28T06:57:04.224409,ad6ebd12,Is the bZ4X good for highway driving?,That's an important consideration. Let me check what we currently have in stock.,finance,70937,,sedan,,long highway trips,['7 seats'],,neutral
2026-02-28T10:49:26.909859,17b1e6dd,"I want something electric or plug-in hybrid, what do you have?",Our current promotions include competitive financing rates across the entire range.,compare,,petrol,mpv,5,long highway trips,"['apple carplay', 'heated seats', 'wireless charging']",,positive
2026-02-28T13:11:17.659392,f9f1d803,What's the difference between petrol and hybrid?,I'd recommend the GR86 — it's one of our most popular models for that use case.,after_sales,79888,plug-in hybrid,,2,long highway trips,"['adaptive cruise', 'boot space']",GR86,positive
2026-03-01T16:45:52.003621,c6abbad4,"I'm interested in the Corolla, what's the price?",We have several options that might interest you. Could you tell me more about your priorities?,availability,10630,petrol,crossover,6,eco savings,"['apple carplay', 'android auto']",,neutral
2026-03-01T18:43:30.076292,f9f1d803,What deals do you have this month?,We have several options that might interest you. Could you tell me more about your priorities?,availability,,,,,eco savings,['360 camera'],,positive
2026-03-02T11:04:40.253293,64060361,What Toyota SUVs do you have available?,That's an important consideration. Let me check what we currently have in stock.,browse,46101,petrol,suv,5,business travel,"['android auto', 'lane assist']",,neutral
2026-03-02T18:02:00.709259,ee5aa456,"I want something electric or plug-in hybrid, what do you have?",The Corolla would be a great fit for your needs. It offers excellent fuel economy and comfort.,browse,11071,hybrid,,3,,"['blind spot monitor', 'lane assist']",Corolla,positive
2026-03-03T10:42:40.552870,d34b6e88,What Toyota SUVs do you have available?,Great choice! The Hilux is available at our Las Palmas and Tenerife showrooms.,compare,33060,diesel,pickup,2,island hopping,['boot space'],Hilux,positive
2026-03-03T11:44:18.829276,9f4b8762,Can I test drive the Aygo X?,We currently have the Aygo X in stock with several trim levels available.,availability,9571,hybrid,hatchback,,,"['tow bar', 'boot space']",Aygo X,positive
2026-03-03T14:13:29.747089,1b9fed09,Is C-HR available in automatic transmission?,Great choice! The C-HR is available at our Las Palmas and Tenerife showrooms.,test_drive,37087,,suv,,,"['wireless charging', 'panoramic roof', 'android auto']",C-HR,neutral
2026-03-03T18:54:43.025319,e43c6040,Can you compare the C-HR and Corolla?,The Prius offers the best balance of performance and efficiency in that price range.,compare,28226,electric,suv,2,city commuting,[],Prius,positive
2026-03-03T22:05:39.910975,ad6ebd12,I need a car with good boot space for surfboards,The bZ4X would be a great fit for your needs. It offers excellent fuel economy and comfort.,compare,28299,electric,hatchback,,city commuting,"['android auto', '360 camera', 'boot space']",bZ4X,negative
2026-03-04T10:42:27.319743,43e61c8b,"I care a lot about safety features, what do you recommend?",That's a great question! Let me help you narrow down your options based on your needs.,after_sales,39484,hybrid,suv,,long highway trips,['wireless charging'],,positive
2026-03-04T13:30:22.272607,c6abbad4,Is the bZ4X good for highway driving?,The bZ4X offers the best balance of performance and efficiency in that price range.,availability,37310,plug-in hybrid,hatchback,,city commuting,[],bZ4X,negative
2026-03-04T13:35:20.823571,43e61c8b,What deals do you have this month?,The GR86 offers the best balance of performance and efficiency in that price range.,availability,71350,plug-in hybrid,suv,,long highway trips,['adaptive cruise'],GR86,positive
2026-03-04T15:51:41.907660,9d8a2e7b,Which Toyota is best for fuel economy?,The Hilux offers the best balance of performance and efficiency in that price range.,browse,51884,petrol,pickup,,off-road,"['panoramic roof', '7 seats']",Hilux,neutral
2026-03-04T19:41:40.397626,1339b5d7,What's the best hybrid Toyota for a family of 4?,I can arrange a test drive at your most convenient location in the Canary Islands.,recommend,40590,petrol,,,island hopping,"['tow bar', 'boot space']",,positive
2026-03-05T01:21:50.887432,75f6ab09,Tell me about the bZ4X,The bZ4X would be a great fit for your needs. It offers excellent fuel economy and comfort.,recommend,,hybrid,,,,['tow bar'],bZ4X,positive
2026-03-05T07:18:20.940333,f33cf532,What Toyota SUVs do you have available?,We currently have the Aygo X in stock with several trim levels available.,after_sales,9438,hybrid,crossover,,first car,['7 seats'],Aygo X,positive
2026-03-05T09:00:48.723063,c28d94e6,"I'm a first-time buyer, what's good for city driving?",We have several options that might interest you. Could you tell me more about your priorities?,recommend,,hybrid,hatchback,2,,"['blind spot monitor', 'apple carplay', 'panoramic roof']",,positive
2026-03-06T09:49:10.532030,9f4b8762,"My budget is a reasonable amount, what Toyota do you recommend?",I can arrange a test drive for the RAV4 at your nearest dealership.,browse,,diesel,suv,,,[],RAV4,neutral
2026-03-06T12:13:27.129107,3da8f5b4,"I'm interested in the Aygo X, what's the price?","I'd love to help! To give you the best recommendation, could you share your typical weekly mileage?",availability,,petrol,hatchback,,first car,"['boot space', 'blind spot monitor']",,neutral
2026-03-06T13:47:04.625459,c28d94e6,What's the difference between petrol and hybrid?,I can arrange a test drive for the Yaris at your nearest dealership.,test_drive,16373,petrol,hatchback,2,eco savings,"['wireless charging', '7 seats', 'android auto']",Yaris,negative
2026-03-06T23:10:06.322457,acf02484,Is the Aygo X good for highway driving?,The Aygo X has excellent reviews and a 5-star Euro NCAP safety rating.,compare,,petrol,hatchback,,,"['blind spot monitor', 'apple carplay']",Aygo X,neutral
2026-03-07T01:34:07.084417,ee5aa456,Can I test drive the Prius?,The Prius offers the best balance of performance and efficiency in that price range.,browse,33023,plug-in hybrid,hatchback,,long highway trips,[],Prius,neutral
2026-03-07T07:38:30.392100,f8f96158,Is GR86 available in automatic transmission?,The GR86 comes with advanced safety features including Toyota Safety Sense.,availability,75020,petrol,sedan,,,[],GR86,positive
2026-03-07T13:52:46.061197,9d8a2e7b,"I'm a first-time buyer, what's good for city driving?",Our current promotions include competitive financing rates across the entire range.,test_drive,10640,petrol,crossover,,city commuting,['tow bar'],,neutral
2026-03-07T14:34:17.180650,c6abbad4,What Toyota SUVs do you have available?,The RAV4 has excellent reviews and a 5-star Euro NCAP safety rating.,browse,30517,petrol,mpv,3,family transport,"['panoramic roof', '7 seats']",RAV4,positive
2026-03-07T16:10:23.989035,09201afe,What's the best hybrid Toyota for a family of 4?,The Yaris has excellent reviews and a 5-star Euro NCAP safety rating.,recommend,,hybrid,hatchback,6,city commuting,"['tow bar', 'lane assist', '360 camera']",Yaris,neutral
2026-03-07T17:15:31.167936,43e61c8b,I need a reliable SUV for off-road use in the Canary Islands,We have several options that might interest you. Could you tell me more about your priorities?,compare,25949,electric,,,long highway trips,['tow bar'],,positive
2026-03-08T03:02:41.826745,3da8f5b4,What's the best hybrid Toyota for a family of 4?,That's an important consideration. Let me check what we currently have in stock.,after_sales,10168,hybrid,hatchback,,city commuting,"['adaptive cruise', 'tow bar', 'android auto']",,neutral
2026-03-08T10:45:44.598766,d34b6e88,I need a pickup truck that can tow heavy loads,We have several options that might interest you. Could you tell me more about your priorities?,browse,11761,hybrid,,3,first car,"['tow bar', 'lane assist', '7 seats']",,positive
2026-03-08T10:49:09.748900,c6abbad4,Tell me about the C-HR,Our current promotions include competitive financing rates across the entire range.,browse,12882,,hatchback,,first car,['blind spot monitor'],,positive
2026-03-08T12:07:59.205836,64060361,"I want a family car with 7 seats under €49,406","I'd love to help! To give you the best recommendation, could you share your typical weekly mileage?",finance,49406,diesel,pickup,,island hopping,"['7 seats', 'tow bar', 'heated seats']",,neutral
2026-03-08T14:29:05.583875,e43c6040,"I'm a first-time buyer, what's good for city driving?",The Prius is an excellent choice with its hybrid powertrain and spacious interior.,finance,27296,,hatchback,,,"['7 seats', 'tow bar', 'apple carplay']",Prius,neutral
2026-03-08T17:25:17.745500,a1ed0796,I need a pickup truck that can tow heavy loads,The Corolla is an excellent choice with its hybrid powertrain and spacious interior.,recommend,,hybrid,,6,,"['blind spot monitor', 'wireless charging', '360 camera']",Corolla,positive
2026-03-08T17:31:34.633015,0c0a630c,What's the best hybrid Toyota for a family of 4?,"I'd love to help! To give you the best recommendation, could you share your typical weekly mileage?",recommend,41070,,,3,family transport,['360 camera'],,positive
2026-03-08T21:32:41.140009,0c0a630c,Is C-HR available in automatic transmission?,I can arrange a test drive at your most convenient location in the Canary Islands.,recommend,41112,diesel,suv,,,"['lane assist', 'boot space', 'android auto']",,neutral
2026-03-09T09:52:58.129302,3da8f5b4,"I'm looking for a car for my daily commute, budget around €40,000",Our current promotions include competitive financing rates across the entire range.,availability,40000,diesel,,4,,"['7 seats', 'lane assist', '360 camera']",,neutral
2026-03-09T11:58:00.644986,c6abbad4,I want a family car with 7 seats under a reasonable amount,We currently have the RAV4 in stock with several trim levels available.,finance,,,suv,,island hopping,"['lane assist', '7 seats', '360 camera']",RAV4,positive
2026-03-09T13:58:55.298069,b4e6be50,"I'm interested in the Hilux, what's the price?",That's an important consideration. Let me check what we currently have in stock.,test_drive,,hybrid,,6,first car,"['lane assist', '360 camera']",,neutral
2026-03-09T14:07:50.497552,9f4b8762,"My budget is €16,411, what Toyota do you recommend?",Our current promotions include competitive financing rates across the entire range.,browse,16411,,crossover,,first car,"['boot space', 'heated seats', 'wireless charging']",,negative
2026-03-09T14:36:25.577116,ad6ebd12,Is Camry available in automatic transmission?,We have several options that might interest you. Could you tell me more about your priorities?,availability,43686,petrol,,,towing,['wireless charging'],,neutral
2026-03-09T18:24:17.954705,ee5aa456,I need a pickup truck that can tow heavy loads,I can arrange a test drive at your most convenient location in the Canary Islands.,after_sales,35666,plug-in hybrid,hatchback,3,,"['7 seats', 'lane assist']",,positive
2026-03-09T21:23:45.679239,09201afe,Is Corolla available in automatic transmission?,The Corolla comes with advanced safety features including Toyota Safety Sense.,finance,13240,hybrid,hatchback,6,city commuting,"['panoramic roof', '7 seats']",Corolla,neutral
2026-03-10T03:12:56.498639,09201afe,I need a pickup truck that can tow heavy loads,The C-HR has excellent reviews and a 5-star Euro NCAP safety rating.,availability,26888,diesel,,,long highway trips,[],C-HR,positive
2026-03-10T13:01:40.854025,1339b5d7,What's the difference between petrol and hybrid?,"I'd love to help! To give you the best recommendation, could you share your typical weekly mileage?",browse,25920,plug-in hybrid,hatchback,,eco savings,"['wireless charging', 'tow bar']",,neutral
2026-03-10T14:06:45.543409,1b9fed09,I need a reliable SUV for off-road use in the Canary Islands,Great question about fuel types! Each has its advantages depending on your driving patterns.,compare,48170,hybrid,coupe,5,long highway trips,"['panoramic roof', 'wireless charging']",,positive
2026-03-10T16:17:35.809367,64060361,Is C-HR available in automatic transmission?,We currently have the C-HR in stock with several trim levels available.,after_sales,,hybrid,,2,city commuting,"['boot space', 'panoramic roof', 'adaptive cruise']",C-HR,positive
2026-03-10T17:55:02.440655,f33cf532,I need a pickup truck that can tow heavy loads,I'd recommend the bZ4X — it's one of our most popular models for that use case.,compare,25441,electric,,2,eco savings,"['wireless charging', '7 seats']",bZ4X,positive
